fecha,tasa_cetes,inflacion,pib,ln_tc,td,ln_ipc,ln_actvindustrial,ln_inpp,ahorro,ln_export,ln_import,inversion
sep-14,0.0283,0.0422,0.02865,2.59771,0.05092,10.7141,4.62503,4.38383,0.2172,10.43844,10.42429,0.0732
oct-14,0.029,0.043,0.03034,2.60101,0.04775,10.71503,4.68066,4.37708,0.2151,10.51541,10.51719,0.0712
nov-14,0.0285,0.0417,0.03202,2.63164,0.04527,10.69626,4.64133,4.3761,0.2131,10.3795,10.41652,0.0607
dic-14,0.0281,0.0408,0.03371,2.69066,0.03757,10.67234,4.61997,4.37519,0.211,10.43679,10.43006,0.0596
ene-15,0.0267,0.0307,0.03378,2.70728,0.04513,10.62012,4.62163,4.36567,0.2189,10.18691,10.30285,0.0809
feb-15,0.0281,0.03,0.03384,2.70507,0.04325,10.69626,4.59845,4.37121,0.2268,10.29996,10.27938,0.0071
mar-15,0.0304,0.0314,0.03391,2.72554,0.03862,10.68567,4.64709,4.37943,0.2347,10.43932,10.42425,0.0283
abr-15,0.0297,0.0306,0.03291,2.73251,0.04313,10.70509,4.62204,4.38366,0.2322,10.4034,10.40551,0.0476
may-15,0.0298,0.0288,0.03192,2.73317,0.04446,10.70781,4.64094,4.38497,0.2297,10.34961,10.38465,0.0202
jun-15,0.0296,0.0287,0.03092,2.75273,0.04405,10.71561,4.64343,4.38923,0.2272,10.42709,10.45133,0.0859
jul-15,0.0299,0.0274,0.03426,2.7774,0.04717,10.70891,4.66044,4.38996,0.2306,10.39498,10.46519,0.0914
ago-15,0.0304,0.0259,0.03761,2.82036,0.0468,10.68561,4.65761,4.38884,0.2339,10.34206,10.42916,0.0851
sep-15,0.031,0.0252,0.04095,2.82763,0.04497,10.66037,4.65961,4.3916,0.2373,10.37932,10.42416,0.1125
oct-15,0.0302,0.0248,0.03606,2.80484,0.04551,10.7042,4.67753,4.38999,0.236,10.43707,10.48013,-0.0024
nov-15,0.0302,0.0221,0.03118,2.80853,0.03959,10.67864,4.6425,4.38961,0.2347,10.34114,10.39192,0.0152
dic-15,0.0314,0.0213,0.02629,2.84774,0.03962,10.66843,4.62448,4.38816,0.2334,10.34632,10.37002,0.0106
ene-16,0.0308,0.0261,0.02663,2.90106,0.04255,10.68352,4.6315,4.39373,0.2356,10.11407,10.23921,-0.0016
feb-16,0.0336,0.0287,0.02696,2.89602,0.0414,10.68544,4.62981,4.40369,0.2379,10.27391,10.30062,0.0828
mar-16,0.038,0.026,0.0273,2.84706,0.03745,10.73381,4.63787,4.40778,0.2401,10.35754,10.35483,0.0033
abr-16,0.0374,0.0254,0.02824,2.84355,0.03801,10.73171,4.64233,4.4124,0.2379,10.32178,10.38891,0.019
may-16,0.0381,0.026,0.02919,2.91299,0.04013,10.72458,4.65294,4.42462,0.2357,10.35491,10.36892,0.0249
jun-16,0.0381,0.0254,0.03013,2.91586,0.03917,10.73567,4.6521,4.43742,0.2335,10.37192,10.38801,0.0053
jul-16,0.0421,0.0265,0.02574,2.93299,0.03997,10.75066,4.63915,4.44067,0.234,10.30136,10.36089,-0.0666
ago-16,0.0424,0.0273,0.02135,2.9371,0.03976,10.76935,4.6607,4.44332,0.2344,10.38734,10.44383,0.0105
sep-16,0.0428,0.0297,0.01696,2.96412,0.04121,10.76312,4.63904,4.45567,0.2349,10.39517,10.44085,-0.0199
oct-16,0.0469,0.0306,0.02155,2.93856,0.03666,10.77915,4.66274,4.46053,0.2355,10.39196,10.41916,-0.0079
nov-16,0.0515,0.0331,0.02615,3.02118,0.03495,10.72074,4.66455,4.47176,0.236,10.4442,10.44194,0.0368
dic-16,0.0561,0.0336,0.03074,3.02623,0.03377,10.7286,4.6225,4.48581,0.2366,10.41017,10.41049,0.0242
ene-17,0.0583,0.0472,0.03197,3.03451,0.03601,10.75793,4.63949,4.50961,0.2374,10.21523,10.33489,0.0306
feb-17,0.0606,0.0486,0.03319,2.99552,0.03343,10.75485,4.6088,4.51271,0.2381,10.35284,10.32832,-0.0442
mar-17,0.0632,0.0535,0.03442,2.93362,0.03192,10.79018,4.6821,4.50914,0.2389,10.49262,10.49433,0.0484
abr-17,0.065,0.0582,0.02863,2.9423,0.03465,10.80489,4.60327,4.50529,0.2342,10.36624,10.33753,-0.0937
may-17,0.0656,0.0616,0.02285,2.92804,0.03549,10.79525,4.65906,4.50694,0.2296,10.47284,10.50635,0.0129
