fecha,tasa_cetes,inflacion,pib,ln_tc,td,ln_ipc
dic-20,0.0427,0.0315,-0.0431,2.99116,0.0379,10.69346
ene-21,0.0422,0.0354,-0.04157,3.00691,0.04702,10.66862
feb-21,0.0412,0.0376,-0.04003,3.04161,0.04397,10.70533
mar-21,0.0405,0.0467,-0.0385,3.01749,0.0387,10.76313
abr-21,0.0407,0.0608,0.04067,3.0048,0.04652,10.77916
may-21,0.0406,0.0589,0.11983,2.99179,0.03993,10.83734
jun-21,0.0402,0.0588,0.199,2.99103,0.04023,10.82556
jul-21,0.0432,0.0581,0.14761,2.98798,0.04382,10.837
ago-21,0.0446,0.0559,0.09623,2.99875,0.04326,10.88378
sep-21,0.0455,0.06,0.04484,3.02346,0.04184,10.84711
oct-21,0.0484,0.0624,0.03363,3.02187,0.03949,10.84564
nov-21,0.0505,0.0737,0.02243,3.06551,0.03664,10.81373
dic-21,0.0529,0.0736,0.01122,3.01882,0.03514,10.88317
